timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
2h,ALL,0,,69,1021,-150.20206780089978,-0.14711270107825639,-1.0199999999999998,0.1616062683643487,0.826404766884144,-394.29342561388665,27.961481481481403,-1.0200000000002776,149,2.593978720060909,-1.812160382104035
2h,ALL,1,币安人生/USDT,68,1007,-172.48447284789344,-0.17128547452620999,-1.0199999999999996,0.15988083416087387,0.7982739299471276,-417.6178700583312,27.961481481481403,-1.0200000000002776,148,2.522659896836509,-2.1546491741991245
2h,ALL,3,"币安人生/USDT,LUNC/USDT,VIC/USDT",66,979,-213.5622937579606,-0.21814330312355526,-1.0199999999999998,0.1511746680286006,0.7456813778146094,-441.10890027126305,27.961481481481403,-1.0200000000002776,151,2.4791729242800273,-2.753128046239315
2h,ALL,5,"币安人生/USDT,LUNC/USDT,VIC/USDT,ZEC/USDT,DOGS/USDT",64,944,-249.17957456756037,-0.2639614137368224,-1.0199999999999998,0.1483050847457627,0.6932053177739925,-457.1088205770688,27.961481481481403,-1.0200000000002776,190,2.338376273311276,-3.468263194194809
2h,ALL,10,"币安人生/USDT,LUNC/USDT,VIC/USDT,ZEC/USDT,DOGS/USDT,SAHARA/USDT,ONDO/USDT,NOT/USDT,ICP/USDT,TON/USDT",59,862,-298.6231814910705,-0.34643060497804,-1.0199999999999998,0.14385150812064965,0.5995924939137572,-417.0299432396999,15.862352941176397,-1.0200000000002776,175,1.941776722141937,-5.2380615180214125
2h,LONG,0,,68,539,164.93609801736005,0.30600389242552883,-1.0199999999999996,0.22263450834879406,1.3894095839832648,-137.2852923241125,27.961481481481403,-1.0200000000001448,64,3.3101265111573235,2.1462323705755906
2h,LONG,1,ZEC/USDT,67,532,137.0124091966311,0.2575421225500584,-1.0199999999999996,0.2199248120300752,1.326628863821206,-147.68381744643057,27.961481481481403,-1.0200000000001448,63,3.2115713614923167,1.8496370248443141
2h,LONG,3,"ZEC/USDT,币安人生/USDT,DOGS/USDT",65,514,92.90258820694257,0.1807443350329622,-1.0199999999999996,0.2140077821011673,1.2275605953476156,-154.7775896512374,27.961481481481403,-1.0200000000001448,90,3.0257685644688928,1.3542864937054775
2h,LONG,5,"ZEC/USDT,币安人生/USDT,DOGS/USDT,LUNC/USDT,ONDO/USDT",63,494,53.566850651798205,0.10843492034776965,-1.0199999999999996,0.20647773279352227,1.1352649453457269,-156.18234383625966,17.221245136186766,-1.0200000000001448,90,2.7827471316517527,0.8660817663486085
2h,LONG,10,"ZEC/USDT,币安人生/USDT,DOGS/USDT,LUNC/USDT,ONDO/USDT,VIC/USDT,SAHARA/USDT,NOT/USDT,OSMO/USDT,INJ/USDT",58,455,-20.3351460357013,-0.044692628649892964,-1.0199999999999998,0.1912087912087912,0.9454015877046472,-162.268915352708,15.722616033755305,-1.0200000000001448,86,2.4397086159270005,-0.3907541843928257
