timeframe,side,window_start,window_end,assets,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
2h,ALL,2026-02-26 00:00:00+00:00,2026-08-25 00:00:00+00:00,69,1021,-150.20206780089978,-0.14711270107825639,-1.0199999999999998,0.1616062683643487,0.826404766884144,-394.29342561388665,27.961481481481403,-1.0200000000002776,149,2.593978720060909,-1.812160382104035
2h,LONG,2026-02-26 00:00:00+00:00,2026-08-25 00:00:00+00:00,68,539,164.93609801736005,0.30600389242552883,-1.0199999999999996,0.22263450834879406,1.3894095839832648,-137.2852923241125,27.961481481481403,-1.0200000000001448,64,3.3101265111573235,2.1462323705755906
2h,SHORT,2026-02-27 00:00:00+00:00,2026-08-26 00:00:00+00:00,68,482,-315.1381658182598,-0.6538136220295846,-1.02,0.09336099585062241,0.286515311760695,-331.2264710243035,10.06148148148149,-1.0200000000002776,113,1.2353521341953506,-11.619480568722057
4h,ALL,2025-12-11 00:00:00+00:00,2026-06-09 00:00:00+00:00,68,965,26.83389644035981,0.027807146570321045,-1.0199999999999996,0.19378238341968912,1.0340920128685036,-351.18492408368695,40.16691588785046,-1.020000000000208,99,2.9429560032500577,0.2935190635680489
4h,ALL,2026-03-11 00:00:00+00:00,2026-09-07 00:00:00+00:00,68,435,71.16881682275454,0.16360647545460813,-1.0199999999999996,0.2045977011494253,1.2054158526265466,-139.59469168489338,40.16691588785046,-1.020000000000208,38,3.649310085039084,0.9350489566928917
4h,LONG,2025-12-12 00:00:00+00:00,2026-06-10 00:00:00+00:00,67,410,128.5106020675007,0.3134404928475627,-1.0199999999999996,0.22926829268292684,1.4037447811103432,-120.6783764965884,40.16691588785046,-1.020000000000208,38,3.822498325837407,1.660350303979801
4h,LONG,2026-03-12 00:00:00+00:00,2026-09-08 00:00:00+00:00,66,247,202.50790585847705,0.8198700642043605,-1.0199999999999994,0.29554655870445345,2.167484397425294,-46.68107270561233,40.16691588785046,-1.020000000000208,23,4.638831420636239,2.777697294768461
4h,SHORT,2025-12-11 00:00:00+00:00,2026-06-09 00:00:00+00:00,68,555,-101.67670562714083,-0.18320127140025375,-1.0199999999999996,0.16756756756756758,0.7831153818331082,-294.22886576764904,11.21740714939845,-1.020000000000193,109,2.0441569542770828,-2.111352448199243
4h,SHORT,2026-03-11 00:00:00+00:00,2026-09-07 00:00:00+00:00,66,186,-129.29908903572246,-0.6951563926651745,-1.02,0.08602150537634409,0.24371246885118153,-136.21092993305163,5.954647887323946,-1.020000000000148,49,1.1385501204856727,-8.326966920827969
6h,ALL,2025-09-26 00:00:00+00:00,2026-03-25 00:00:00+00:00,67,634,184.70244724328478,0.2913287811408277,-1.0199999999999998,0.22712933753943218,1.3702855137858638,-150.60105732677798,29.944692901802117,-1.020000000000208,92,2.8306936778293297,2.5914041256535705
6h,ALL,2025-12-25 00:00:00+00:00,2026-06-23 00:00:00+00:00,68,571,79.32896904327056,0.13892989324565772,-1.0199999999999996,0.23642732049036777,1.1797402728228021,-232.3290866245844,23.86970588235293,-1.020000000000208,92,2.551825886646695,1.300956326361792
6h,ALL,2026-03-25 00:00:00+00:00,2026-09-21 00:00:00+00:00,68,231,58.310968799957664,0.2524284363634531,-1.0199999999999994,0.29004329004329005,1.3555241288493547,-80.70802929780518,23.86970588235293,-1.0200000000000615,26,2.763327254241002,1.388391501505898
6h,LONG,2025-09-30 00:00:00+00:00,2026-03-29 00:00:00+00:00,64,193,-65.47915896612378,-0.3392702537104859,-1.02,0.11398963730569948,0.6224481209919983,-81.00933355042248,29.944692901802117,-1.0200000000000855,22,2.8593167548462266,-1.6483983416565646
6h,LONG,2025-12-29 00:00:00+00:00,2026-06-27 00:00:00+00:00,57,237,44.47703557081047,0.18766681675447455,-1.0199999999999996,0.25738396624472576,1.2505093739500532,-87.3905204098505,23.86970588235293,-1.0200000000000855,22,2.885132758777448,1.0013729566487122
6h,LONG,2026-03-29 00:00:00+00:00,2026-09-25 00:00:00+00:00,56,123,111.7293343559238,0.9083685719993805,-1.019999999999999,0.4065040650406504,2.539243932061034,-21.184786596658526,23.86970588235293,-1.0200000000000014,16,3.4608525871979805,2.9109286094125726
6h,SHORT,2025-09-26 00:00:00+00:00,2026-03-25 00:00:00+00:00,67,451,239.9816062094087,0.5321099915951413,-1.0199999999999996,0.270509977827051,1.7151248769575314,-112.76384720327292,15.103778501628655,-1.020000000000208,109,2.7554744599168366,4.10103329171186
6h,SHORT,2025-12-25 00:00:00+00:00,2026-06-23 00:00:00+00:00,68,334,34.851933472460104,0.10434710620497037,-1.0199999999999996,0.2215568862275449,1.132111509133983,-174.84675262787727,10.050399999999994,-1.020000000000208,127,2.290016504296932,0.8327507463707393
6h,SHORT,2026-03-25 00:00:00+00:00,2026-09-21 00:00:00+00:00,63,98,-43.218365555966365,-0.4410037301629221,-1.02,0.17346938775510204,0.4679306704667516,-61.062905424602384,5.720384615384613,-1.0200000000000615,40,1.3576215621548176,-3.2157077608913642
ALL_TF,ALL,2025-09-26 00:00:00+00:00,2026-03-25 00:00:00+00:00,68,1575,-143.87396352909627,-0.09134854827244208,-1.0199999999999998,0.1746031746031746,0.8912649765657163,-634.0259443646692,29.944692901802117,-1.0200000000002776,243,2.3188747385604938,-1.5633803154824162
ALL_TF,ALL,2025-12-25 00:00:00+00:00,2026-06-23 00:00:00+00:00,69,2518,-36.212971150349006,-0.014381640647477762,-1.0199999999999996,0.19023034154090548,0.9824386070995244,-961.8719289376677,40.16691588785046,-1.0200000000002776,243,2.7364512928216587,-0.26372334367200256
ALL_TF,ALL,2026-03-25 00:00:00+00:00,2026-09-21 00:00:00+00:00,69,1276,263.5192082117986,0.2065197556518798,-1.0199999999999994,0.22570532915360503,1.2656419581348792,-327.73032123492123,40.16691588785046,-1.020000000000208,58,3.266108066294454,2.2586887539547336
