PHASE T7 — STRICT ROBUSTNESS REPORT
======================================================================

T5_1D_LONG_max5_BASELINE: trades=121, totalR=74.60, avgR=0.617, PF=2.08, DD=-11.01, win=33.1%
T5_1D_LONG_max5_COST_0.00R: trades=121, totalR=74.60, avgR=0.617, PF=2.08, DD=-11.01, win=33.1%
T5_1D_LONG_max5_COST_0.05R: trades=121, totalR=68.55, avgR=0.567, PF=1.93, DD=-11.66, win=33.1%
T5_1D_LONG_max5_COST_0.10R: trades=121, totalR=62.50, avgR=0.517, PF=1.81, DD=-12.91, win=33.1%
T5_1D_LONG_max5_COST_0.15R: trades=121, totalR=56.45, avgR=0.467, PF=1.69, DD=-15.91, win=30.6%
T5_1D_LONG_max5_REMOVE_TOP_1_ASSETS: trades=112, totalR=-4.35, avgR=-0.039, PF=0.93, DD=-13.52, win=31.2%
T5_1D_LONG_max5_REMOVE_TOP_3_ASSETS: trades=96, totalR=-20.11, avgR=-0.209, PF=0.67, DD=-25.63, win=26.0%
T5_1D_LONG_max5_REMOVE_TOP_5_ASSETS: trades=88, totalR=-27.28, avgR=-0.310, PF=0.53, DD=-32.45, win=22.7%
T5_1D_LONG_max5_REMOVE_TOP_1_MONTHS: trades=113, totalR=7.25, avgR=0.064, PF=1.11, DD=-11.01, win=32.7%
T5_1D_LONG_max5_REMOVE_TOP_2_MONTHS: trades=105, totalR=-3.47, avgR=-0.033, PF=0.94, DD=-17.53, win=31.4%
T5_1D_LONG_max5_LONG_ONLY: trades=121, totalR=74.60, avgR=0.617, PF=2.08, DD=-11.01, win=33.1%
T5_1D_LONG_max5_SHORT_ONLY: trades=0, totalR=0.00, avgR=0.000, PF=0.00, DD=0.00, win=0.0%
T5_1D_LONG_max5_LAST_20: trades=20, totalR=8.19, avgR=0.410, PF=1.76, DD=-7.67, win=40.0%
T5_1D_LONG_max5_LAST_30: trades=30, totalR=6.23, avgR=0.208, PF=1.38, DD=-8.22, win=36.7%
T5_1D_LONG_max5_LAST_50: trades=50, totalR=78.53, avgR=1.571, PF=4.02, DD=-8.22, win=42.0%
T5_1D_LONG_max3_BASELINE: trades=77, totalR=76.87, avgR=0.998, PF=2.89, DD=-7.15, win=35.1%
T5_1D_LONG_max3_COST_0.00R: trades=77, totalR=76.87, avgR=0.998, PF=2.89, DD=-7.15, win=35.1%
T5_1D_LONG_max3_COST_0.05R: trades=77, totalR=73.02, avgR=0.948, PF=2.69, DD=-7.55, win=35.1%
T5_1D_LONG_max3_COST_0.10R: trades=77, totalR=69.17, avgR=0.898, PF=2.51, DD=-7.95, win=35.1%
T5_1D_LONG_max3_COST_0.15R: trades=77, totalR=65.32, avgR=0.848, PF=2.35, DD=-9.13, win=33.8%
T5_1D_LONG_max3_REMOVE_TOP_1_ASSETS: trades=69, totalR=3.06, avgR=0.044, PF=1.08, DD=-6.13, win=33.3%
T5_1D_LONG_max3_REMOVE_TOP_3_ASSETS: trades=58, totalR=-13.80, avgR=-0.238, PF=0.62, DD=-13.50, win=24.1%
T5_1D_LONG_max3_REMOVE_TOP_5_ASSETS: trades=55, totalR=-20.02, avgR=-0.364, PF=0.45, DD=-19.30, win=20.0%
T5_1D_LONG_max3_REMOVE_TOP_1_MONTHS: trades=71, totalR=7.48, avgR=0.105, PF=1.20, DD=-7.15, win=33.8%
T5_1D_LONG_max3_REMOVE_TOP_2_MONTHS: trades=66, totalR=1.55, avgR=0.024, PF=1.04, DD=-7.15, win=31.8%
T5_1D_LONG_max3_LONG_ONLY: trades=77, totalR=76.87, avgR=0.998, PF=2.89, DD=-7.15, win=35.1%
T5_1D_LONG_max3_SHORT_ONLY: trades=0, totalR=0.00, avgR=0.000, PF=0.00, DD=0.00, win=0.0%
T5_1D_LONG_max3_LAST_20: trades=20, totalR=74.52, avgR=3.726, PF=9.24, DD=-5.35, win=40.0%
T5_1D_LONG_max3_LAST_30: trades=30, totalR=78.63, avgR=2.621, PF=6.99, DD=-5.35, win=46.7%
T5_1D_LONG_max3_LAST_50: trades=50, totalR=76.13, avgR=1.523, PF=4.05, DD=-7.15, win=38.0%
