symbol,entry_ts,r,funding,year,tf,lookback_n,hold_bars,atr_mult
1000000MOGUSDT,1757419200000,-0.5650692110917284,0.00012033,2025,4h,5,10,2.0
1000000MOGUSDT,1758499200000,1.9805376508701769,0.00011135,2025,4h,5,10,2.0
1000BONKUSDT,1712937600000,0.23141657384839223,0.00014938,2024,4h,5,10,2.0
1000BONKUSDT,1717776000000,0.22825828335934412,0.00021384,2024,4h,5,10,2.0
1000FLOKIUSDT,1690185600000,-0.3404211221490515,0.0001,2023,4h,5,10,2.0
1000FLOKIUSDT,1704283200000,0.22411866448635434,0.00055104,2024,4h,5,10,2.0
1000FLOKIUSDT,1712937600000,0.27465748571690685,0.0001,2024,4h,5,10,2.0
1000FLOKIUSDT,1727798400000,0.47503639759639527,0.0001,2024,4h,5,10,2.0
1000FLOKIUSDT,1730635200000,0.14704866937257668,0.0001,2024,4h,5,10,2.0
1000FLOKIUSDT,1734552000000,2.2857129505422074,0.0001,2024,4h,5,10,2.0
1000FLOKIUSDT,1737316800000,0.1198714410852089,0.0001,2025,4h,5,10,2.0
1000FLOKIUSDT,1755172800000,0.3482663475162756,0.0001,2025,4h,5,10,2.0
1000FLOKIUSDT,1757419200000,-0.7595215989725624,0.0001,2025,4h,5,10,2.0
1000FLOKIUSDT,1760126400000,-0.07562994299456845,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1692302400000,-0.11376723915775437,0.0001,2023,4h,5,10,2.0
1000PEPEUSDT,1692907200000,0.5280487497106601,0.0001,2023,4h,5,10,2.0
1000PEPEUSDT,1694318400000,1.9946554391154294,0.0001,2023,4h,5,10,2.0
1000PEPEUSDT,1696838400000,0.4019264211027134,0.0001,2023,4h,5,10,2.0
1000PEPEUSDT,1704283200000,0.2890831086624398,0.00068141,2024,4h,5,10,2.0
1000PEPEUSDT,1705996800000,-0.34440489015247683,0.0001,2024,4h,5,10,2.0
1000PEPEUSDT,1712937600000,0.31565503708712483,0.00016058,2024,4h,5,10,2.0
1000PEPEUSDT,1736251200000,0.9284761776073935,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1737273600000,-1.0,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1737936000000,0.3940722800464752,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1750593600000,-1.0,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1758499200000,0.818111840465331,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1758816000000,-0.42722536026952135,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1760112000000,3.1316609154917603,0.0001,2025,4h,5,10,2.0
1000PEPEUSDT,1762272000000,-0.30982125007329453,0.0001,2025,4h,5,10,2.0
1000RATSUSDT,1712937600000,1.4896529902372622,0.00035019,2024,4h,5,10,2.0
1000RATSUSDT,1718668800000,0.27776711053429426,0.00010065,2024,4h,5,10,2.0
1000RATSUSDT,1729886400000,-0.07696269779631401,0.00053382,2024,4h,5,10,2.0
1000RATSUSDT,1733774400000,0.5023716437865562,0.0001458,2024,4h,5,10,2.0
1000RATSUSDT,1736352000000,-0.5460087404546896,0.00013502,2025,4h,5,10,2.0
1000RATSUSDT,1737273600000,-1.0,0.00035375,2025,4h,5,10,2.0
1000RATSUSDT,1737316800000,0.7595898437373392,0.00013388,2025,4h,5,10,2.0
1000RATSUSDT,1750536000000,-0.39327770243458715,0.00043129,2025,4h,5,10,2.0
1000RATSUSDT,1760126400000,-1.0,0.00034871,2025,4h,5,10,2.0
1000RATSUSDT,1763769600000,-1.0,0.00019734,2025,4h,5,10,2.0
1000RATSUSDT,1764576000000,0.11911663921785276,0.00017409,2025,4h,5,10,2.0
1000SATSUSDT,1717776000000,0.3383275212658077,0.00017157,2024,4h,5,10,2.0
1000SHIBUSDT,1629806400000,0.5957390372490673,0.00124876,2021,4h,5,10,2.0
1000SHIBUSDT,1631016000000,-1.0,0.00064177,2021,4h,5,10,2.0
1000SHIBUSDT,1638590400000,-0.09076499294534093,0.0001,2021,4h,5,10,2.0
1000SHIBUSDT,1641398400000,0.7041083151232276,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1641816000000,-1.0,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1651348800000,-1.0,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1651752000000,0.2007516732158261,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1663531200000,-0.28238713194608267,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1665432000000,-0.16107505455499468,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1670803200000,-1.0,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1672156800000,1.0316478530991968,0.0001,2022,4h,5,10,2.0
1000SHIBUSDT,1677801600000,-0.06853165601118201,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1681257600000,-1.0,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1682524800000,-0.5872932806491519,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1683374400000,0.8615522288964762,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1685966400000,-0.2539207212685095,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1686355200000,1.8986639459726116,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1696838400000,-0.08322979218807999,0.0001,2023,4h,5,10,2.0
1000SHIBUSDT,1704283200000,-0.17176219579880442,0.00044837,2024,4h,5,10,2.0
1000SHIBUSDT,1705593600000,-1.0,0.0001,2024,4h,5,10,2.0
1000SHIBUSDT,1705996800000,-0.7261568756246398,0.0001,2024,4h,5,10,2.0
1000SHIBUSDT,1712937600000,0.5430745685712961,0.0001,2024,4h,5,10,2.0
1000SHIBUSDT,1717473600000,-1.0,0.0001,2024,4h,5,10,2.0
1000SHIBUSDT,1717776000000,0.2562799567254042,0.00026866,2024,4h,5,10,2.0
1000SHIBUSDT,1718380800000,-0.5444207953092502,0.0001,2024,4h,5,10,2.0
1000SHIBUSDT,1734552000000,3.2279831161248436,0.0001,2024,4h,5,10,2.0
1000SHIBUSDT,1748563200000,1.1558486635333771,0.0001,2025,4h,5,10,2.0
1000SHIBUSDT,1755172800000,0.07368147202370932,0.0001,2025,4h,5,10,2.0
1000SHIBUSDT,1759838400000,0.16933341198485005,0.0001,2025,4h,5,10,2.0
1000SHIBUSDT,1760126400000,-0.24231386875916755,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1636574400000,-1.0,0.00083592,2021,4h,5,10,2.0
1000XECUSDT,1637913600000,-1.0,0.0002072,2021,4h,5,10,2.0
1000XECUSDT,1638590400000,-1.0,0.0001,2021,4h,5,10,2.0
1000XECUSDT,1650254400000,-1.0,0.0001,2022,4h,5,10,2.0
1000XECUSDT,1651348800000,-1.0,0.0001,2022,4h,5,10,2.0
1000XECUSDT,1652112000000,-1.0,0.0001,2022,4h,5,10,2.0
1000XECUSDT,1664323200000,-0.46660968356529126,0.0001,2022,4h,5,10,2.0
1000XECUSDT,1665619200000,0.1486129461028327,0.0001,2022,4h,5,10,2.0
1000XECUSDT,1668384000000,-0.802353091748406,0.0001,2022,4h,5,10,2.0
1000XECUSDT,1677801600000,-0.2080494071843967,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1678392000000,0.6684598933271351,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1679500800000,-1.0,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1679918400000,-1.0,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1681891200000,0.39464285394569,0.00029021,2023,4h,5,10,2.0
1000XECUSDT,1685980800000,-1.0,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1686355200000,2.0703843848550307,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1692115200000,2.5656126555285073,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1692302400000,-0.4904679222248903,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1696838400000,-0.283488092315473,0.0001,2023,4h,5,10,2.0
1000XECUSDT,1702886400000,-1.0,0.00021152,2023,4h,5,10,2.0
1000XECUSDT,1703606400000,-1.0,0.00051318,2023,4h,5,10,2.0
1000XECUSDT,1712937600000,0.49158239569128465,0.00014916,2024,4h,5,10,2.0
1000XECUSDT,1717776000000,0.7000524391386956,0.0001,2024,4h,5,10,2.0
1000XECUSDT,1718107200000,-1.0,0.0001,2024,4h,5,10,2.0
1000XECUSDT,1718582400000,2.399294654133946,0.0001,2024,4h,5,10,2.0
1000XECUSDT,1729886400000,-0.11018768110063805,0.0001,2024,4h,5,10,2.0
1000XECUSDT,1733774400000,0.2795993647109564,0.0001,2024,4h,5,10,2.0
1000XECUSDT,1734552000000,2.17165754152081,0.0001,2024,4h,5,10,2.0
1000XECUSDT,1736251200000,0.2875624380964556,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1737316800000,-1.0,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1741046400000,-1.0,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1743076800000,1.896231338772007,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1746316800000,0.03905482309710097,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1749153600000,-1.0,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1750075200000,1.0997064650850688,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1751284800000,0.4600804694680476,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1754006400000,0.8046415848951206,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1755172800000,0.028830805635519548,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1758268800000,0.06253918735377549,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1758499200000,1.588991109340279,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1760097600000,3.8262223913463207,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1763568000000,-1.0,0.0001,2025,4h,5,10,2.0
1000XECUSDT,1768780800000,0.6214212655424738,0.0001,2026,4h,5,10,2.0
1000XECUSDT,1769688000000,0.3328539394448202,0.0001,2026,4h,5,10,2.0
1000XECUSDT,1769875200000,-1.0,0.0001,2026,4h,5,10,2.0
1000XECUSDT,1772251200000,-1.0,0.0001,2026,4h,5,10,2.0
1000XECUSDT,1779940800000,-0.5503822773374732,0.0001,2026,4h,5,10,2.0
1000XECUSDT,1780401600000,0.9298608572123949,0.0001,2026,4h,5,10,2.0
1INCHUSDT,1621425600000,-0.10988819158694114,0.00010823,2021,4h,5,10,2.0
1INCHUSDT,1626422400000,-1.0,0.0001,2021,4h,5,10,2.0
1INCHUSDT,1671177600000,1.3272031457813578,0.0001,2022,4h,5,10,2.0
1INCHUSDT,1677801600000,-0.12434531739605804,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1681891200000,0.5311815562233282,0.00010314,2023,4h,5,10,2.0
1INCHUSDT,1683504000000,0.3774074031541938,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1685966400000,-0.33571398380343853,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1686369600000,-0.059402429696153454,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1686772800000,-0.12751500824048603,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1688126400000,-1.0,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1690185600000,0.053071860202074723,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1692115200000,1.3009233753573044,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1692302400000,-0.44322037930783265,0.0001,2023,4h,5,10,2.0
1INCHUSDT,1705996800000,-0.7411418987479778,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1706659200000,0.6925229475597201,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1712937600000,1.045167829833107,0.00013847,2024,4h,5,10,2.0
1INCHUSDT,1720051200000,0.5427721379305583,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1722816000000,-0.7433382483345442,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1724788800000,-1.0,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1727798400000,0.3478873363702709,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1729886400000,-0.2510652380065981,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1734552000000,2.1131577760811,0.0001,2024,4h,5,10,2.0
1INCHUSDT,1736251200000,0.854978791278343,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1737316800000,-1.0,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1738512000000,1.0655496203132122,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1740427200000,-1.0,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1741046400000,-1.0,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1741622400000,-0.1220158702006884,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1743998400000,-1.0,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1749153600000,-1.0,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1749715200000,1.1989963334044251,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1758499200000,0.6902769803517709,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1760126400000,0.09384784346296618,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1763150400000,-0.44932543946486053,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1764950400000,-0.241734446613648,0.0001,2025,4h,5,10,2.0
1INCHUSDT,1769500800000,2.4183468139239603,0.0001,2026,4h,5,10,2.0
1INCHUSDT,1780531200000,1.8694456997243707,0.0001,2026,4h,5,10,2.0
AAVEUSDT,1616616000000,-1.0,0.00102243,2021,4h,5,10,2.0
AAVEUSDT,1618704000000,-1.0,0.00134594,2021,4h,5,10,2.0
AAVEUSDT,1624248000000,1.2191362024981702,0.0001,2021,4h,5,10,2.0
AAVEUSDT,1631016000000,0.08380237559787951,0.00058695,2021,4h,5,10,2.0
AAVEUSDT,1632470400000,-0.02803782298134534,0.0001,2021,4h,5,10,2.0
AAVEUSDT,1636574400000,0.34224910863541247,0.00047334,2021,4h,5,10,2.0
AAVEUSDT,1637020800000,0.28272340112497657,0.00025922,2021,4h,5,10,2.0
AAVEUSDT,1637913600000,-0.26014127818377536,0.00028538,2021,4h,5,10,2.0
AAVEUSDT,1638590400000,-0.07102928210528688,0.0001,2021,4h,5,10,2.0
AAVEUSDT,1651752000000,0.32001568011663545,0.0001,2022,4h,5,10,2.0
AAVEUSDT,1652875200000,-1.0,0.0001,2022,4h,5,10,2.0
AAVEUSDT,1663070400000,0.6504818443606375,0.0001,2022,4h,5,10,2.0
AAVEUSDT,1668225600000,0.13032639221252243,0.0001,2022,4h,5,10,2.0
AAVEUSDT,1677801600000,-0.14230924436983308,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1678190400000,0.7347530943535736,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1681891200000,0.7389440860233824,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1684929600000,-0.1901959196590364,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1685505600000,1.0515903121494468,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1685966400000,-1.0,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1686369600000,-0.3365711422659405,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1690732800000,2.645479487343457,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1692115200000,1.4352734497638924,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1692720000000,-1.0,0.0001,2023,4h,5,10,2.0
AAVEUSDT,1704283200000,-0.10937986232866317,0.00012012,2024,4h,5,10,2.0
AAVEUSDT,1709654400000,-1.0,0.00073379,2024,4h,5,10,2.0
AAVEUSDT,1712016000000,0.5855105661675436,0.00022997,2024,4h,5,10,2.0
AAVEUSDT,1712937600000,1.1017136652898105,0.0001302,2024,4h,5,10,2.0
AAVEUSDT,1717776000000,0.5043906189000463,0.0001,2024,4h,5,10,2.0
AAVEUSDT,1718582400000,1.2644137381385816,0.0001,2024,4h,5,10,2.0
AAVEUSDT,1719936000000,1.407749854142284,0.0001,2024,4h,5,10,2.0
AAVEUSDT,1757419200000,-1.0,0.0001,2025,4h,5,10,2.0
AAVEUSDT,1759838400000,-0.25997940647598267,0.0001,2025,4h,5,10,2.0
AAVEUSDT,1760097600000,2.702673182812401,0.0001,2025,4h,5,10,2.0
ACEUSDT,1711944000000,1.3458020233624233,0.00026498,2024,4h,5,10,2.0
ACEUSDT,1717776000000,0.6337156083445238,0.0002117,2024,4h,5,10,2.0
ACHUSDT,1682524800000,-0.5493024392593969,0.0001,2023,4h,5,10,2.0
ACHUSDT,1685980800000,-0.17309311123123136,0.0001,2023,4h,5,10,2.0
ACHUSDT,1686369600000,-0.5424840009706234,0.0001,2023,4h,5,10,2.0
ACHUSDT,1690185600000,-0.06351747364141598,0.0001,2023,4h,5,10,2.0
ACHUSDT,1692115200000,0.20816473614733813,0.0001,2023,4h,5,10,2.0
ACHUSDT,1692302400000,-0.6118202695224941,0.0001,2023,4h,5,10,2.0
ACHUSDT,1696838400000,0.321508332683595,0.0001,2023,4h,5,10,2.0
ACHUSDT,1702252800000,0.017458039728472357,0.00061507,2023,4h,5,10,2.0
ACHUSDT,1704283200000,0.6084838788055371,0.00061301,2024,4h,5,10,2.0
ACHUSDT,1712923200000,3.432042035234428,0.0001,2024,4h,5,10,2.0
ACHUSDT,1717776000000,0.9286378894999182,0.00026834,2024,4h,5,10,2.0
ACHUSDT,1718380800000,-0.5156289314701873,0.0001,2024,4h,5,10,2.0
ACHUSDT,1718668800000,-1.0,0.0001,2024,4h,5,10,2.0
ACHUSDT,1727798400000,-1.0,0.0001,2024,4h,5,10,2.0
ACHUSDT,1729886400000,-0.10232951747971519,0.0001,2024,4h,5,10,2.0
ACHUSDT,1734552000000,1.969422932599654,0.0001,2024,4h,5,10,2.0
ACHUSDT,1736251200000,0.9758434088603419,0.0001,2025,4h,5,10,2.0
ACHUSDT,1737273600000,-1.0,0.0001,2025,4h,5,10,2.0
ACHUSDT,1737316800000,-1.0,0.0001,2025,4h,5,10,2.0
ACHUSDT,1748563200000,0.47406157635975044,0.0001,2025,4h,5,10,2.0
ACHUSDT,1755172800000,0.1073222115561354,0.0001,2025,4h,5,10,2.0
ACHUSDT,1758499200000,1.1960175985837358,0.0001,2025,4h,5,10,2.0
ACHUSDT,1760126400000,-0.1709406273877221,0.0001,2025,4h,5,10,2.0
ACHUSDT,1779465600000,0.13902275904756503,0.0001,2026,4h,5,10,2.0
ACHUSDT,1780401600000,0.3512638468082841,0.0001,2026,4h,5,10,2.0
ADAUSDT,1598371200000,-0.17761431857331636,0.00032867,2020,4h,5,10,2.0
ADAUSDT,1599134400000,0.3299988308785289,0.00010869,2020,4h,5,10,2.0
ADAUSDT,1600675200000,0.09892319053393941,0.0001,2020,4h,5,10,2.0
ADAUSDT,1618704000000,0.04560458026938473,0.00116023,2021,4h,5,10,2.0
ADAUSDT,1619136000000,-0.23659294007834353,0.00049151,2021,4h,5,10,2.0
ADAUSDT,1635321600000,-0.09205141424497555,0.00092131,2021,4h,5,10,2.0
ADAUSDT,1636574400000,0.48706480278852277,0.00055958,2021,4h,5,10,2.0
ADAUSDT,1637020800000,0.7889407839726692,0.00038254,2021,4h,5,10,2.0
ADAUSDT,1637755200000,0.2601950385151181,0.00036662,2021,4h,5,10,2.0
ADAUSDT,1637913600000,-0.300516434802741,0.00037625,2021,4h,5,10,2.0
ADAUSDT,1638590400000,0.10095209525849208,0.0001,2021,4h,5,10,2.0
ADAUSDT,1641412800000,-0.028673353310298348,0.0001,2022,4h,5,10,2.0
ADAUSDT,1641816000000,-1.0,0.0001,2022,4h,5,10,2.0
ADAUSDT,1649664000000,0.11493440749365434,0.0001,2022,4h,5,10,2.0
ADAUSDT,1651752000000,0.31549172817950566,0.0001,2022,4h,5,10,2.0
ADAUSDT,1665388800000,2.8055284383072228,0.0001,2022,4h,5,10,2.0
ADAUSDT,1669593600000,-0.3846987501833335,0.0001,2022,4h,5,10,2.0
ADAUSDT,1677801600000,-0.594223605734353,0.0001,2023,4h,5,10,2.0
ADAUSDT,1685966400000,1.131220202424482,0.0001,2023,4h,5,10,2.0
ADAUSDT,1686326400000,2.4413186396574615,0.0001,2023,4h,5,10,2.0
ADAUSDT,1691409600000,-1.0,0.0001,2023,4h,5,10,2.0
ADAUSDT,1696838400000,0.24035290895198788,0.0001,2023,4h,5,10,2.0
ADAUSDT,1704672000000,-1.0,0.0001,2024,4h,5,10,2.0
ADAUSDT,1705593600000,-0.6100613133685018,0.0001,2024,4h,5,10,2.0
ADAUSDT,1705996800000,-0.7201485095708469,0.0001,2024,4h,5,10,2.0
ADAUSDT,1711540800000,-0.40998039978782336,0.00042152,2024,4h,5,10,2.0
ADAUSDT,1711944000000,1.8031966995872946,0.00051829,2024,4h,5,10,2.0
ADAUSDT,1712937600000,0.23738730340569467,0.0001,2024,4h,5,10,2.0
ADAUSDT,1716465600000,0.2710721555179777,0.0001,2024,4h,5,10,2.0
ADAUSDT,1717776000000,0.5070134275883038,0.00016832,2024,4h,5,10,2.0
ADAUSDT,1718107200000,-1.0,0.0001,2024,4h,5,10,2.0
ADAUSDT,1718668800000,-0.20241453633313233,0.0001,2024,4h,5,10,2.0
ADAUSDT,1720051200000,2.305190420517732,0.0001,2024,4h,5,10,2.0
ADAUSDT,1724788800000,-0.588575792607165,0.0001,2024,4h,5,10,2.0
ADAUSDT,1727798400000,0.5331897473274025,0.0001,2024,4h,5,10,2.0
ADAUSDT,1729886400000,-0.42399352055281236,0.0001,2024,4h,5,10,2.0
ADAUSDT,1734552000000,2.583379516157556,0.0001,2024,4h,5,10,2.0
ADAUSDT,1737950400000,-1.0,0.0001,2025,4h,5,10,2.0
ADAUSDT,1740456000000,0.3673852688025523,0.0001,2025,4h,5,10,2.0
ADAUSDT,1759838400000,0.31792728328770775,0.0001,2025,4h,5,10,2.0
ADAUSDT,1760126400000,-0.07969131353363144,0.0001,2025,4h,5,10,2.0
ADAUSDT,1762272000000,-0.48734164500742666,0.0001,2025,4h,5,10,2.0
ADAUSDT,1769356800000,-1.0,0.0001,2026,4h,5,10,2.0
ADAUSDT,1780531200000,3.357930843308591,0.0001,2026,4h,5,10,2.0
AEROUSDT,1758499200000,-0.538294043308123,0.00015553,2025,4h,5,10,2.0
AEVOUSDT,1717776000000,0.3356150344834852,0.00019579,2024,4h,5,10,2.0
AGLDUSDT,1696838400000,-0.007919828232784044,0.0001,2023,4h,5,10,2.0
AGLDUSDT,1697457600000,0.9382683288230017,0.0001,2023,4h,5,10,2.0
AGLDUSDT,1705910400000,1.5788217233130353,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1706760000000,-1.0,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1710489600000,0.5592214778607842,0.00052344,2024,4h,5,10,2.0
AGLDUSDT,1712044800000,-1.0,0.00052626,2024,4h,5,10,2.0
AGLDUSDT,1712318400000,-0.20727419841455555,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1712937600000,0.22064299732414067,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1720051200000,1.480482644237489,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1721318400000,-1.0,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1733227200000,-1.0,0.00050436,2024,4h,5,10,2.0
AGLDUSDT,1733774400000,0.4122423083880166,0.0001,2024,4h,5,10,2.0
AGLDUSDT,1738540800000,-1.0,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1743955200000,0.7534624926225257,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1748001600000,0.7764395249640803,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1748563200000,1.2673566586954996,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1755172800000,0.23419805752005488,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1758499200000,2.17612497421473,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1760126400000,0.13934633403097582,0.0001,2025,4h,5,10,2.0
AGLDUSDT,1774137600000,-0.03373584657167208,0.0001,2026,4h,5,10,2.0
AKTUSDT,1740153600000,-1.0,0.00019804,2025,4h,5,10,2.0
AKTUSDT,1760097600000,5.026316398967165,0.00012984,2025,4h,5,10,2.0
