symbol,side,combo_idx,entry_date,entry_price,current_price,unrealized_r,qty,notional_usdt,cluster,days_held
1000CATUSDT,long,0,2026-08-15,0.0015952751999999998,0.001925,0.9266,421206.92303786,671.94,cluster_0,11
1000RATSUSDT,long,0,2026-08-15,0.037967592,0.04559,0.4934,9706.80445246,368.54,solo_1000RATSUSDT,11
1000SATSUSDT,long,0,2026-08-15,1.0088063999999999e-05,1.22e-05,1.39,98647310.2770414,995.16,cluster_1,11
1000XECUSDT,long,0,2026-08-15,0.0064831824,0.007165,0.606,133209.16357531,863.62,cluster_2,11
1INCHUSDT,long,0,2026-08-15,0.08350824999999999,0.09062,1.2927,27198.39159585,2271.29,cluster_0,11
AAVEUSDT,long,0,2026-08-15,87.887574,132.29,5.3661,18.12419987,1592.89,cluster_0,11
ACEUSDT,long,0,2026-08-15,0.122014398,0.20871,1.9678,3403.98233281,415.33,solo_ACEUSDT,11
AVAAIUSDT,long,0,2026-08-15,0.014730775199999999,0.009034,-2.0519,53985.30459421,795.25,solo_AVAAIUSDT,11
BANANAUSDT,long,0,2026-08-15,3.62905,3.918,0.6112,316.48610684,1148.54,cluster_0,11
BOMEUSDT,long,0,2026-08-15,0.00074319408,0.0011487,2.9297,1082865.67911656,804.78,cluster_0,11
BSVUSDT,long,0,2026-08-15,15.217949999999998,16.86,1.2994,118.40121696,1801.82,cluster_0,11
CAKEUSDT,long,0,2026-08-15,1.43808625,1.762,3.8252,1766.97755478,2541.07,cluster_0,11
CHILLGUYUSDT,long,0,2026-08-15,0.010897174999999999,0.011378,0.236,73426.30429144,800.14,cluster_0,11
COOKIEUSDT,long,0,2026-08-15,0.0120266136,0.010727,-0.3459,39889.9050812,479.74,solo_COOKIEUSDT,11
CRVUSDT,long,0,2026-08-15,0.25420319999999996,0.3385,2.9612,5264.99813919,1338.38,cluster_0,11
1000PEPEUSDT,long,0,2026-08-23,0.00407301444,0.0040447,-0.0519,276857.99454412,1127.65,cluster_0,3
ACTUSDT,long,0,2026-08-23,0.011201954399999998,0.01065,-0.1932,52871.8924656,592.27,solo_ACTUSDT,3
ADAUSDT,long,0,2026-08-23,0.22614521999999998,0.2214,-0.1611,5131.49721986,1160.46,cluster_0,3
AEVOUSDT,long,0,2026-08-23,0.023488574999999998,0.02311,-0.1065,42416.87026603,996.31,cluster_4,3
AVAXUSDT,long,0,2026-08-23,7.496499,7.543,0.0545,177.3311885,1329.36,cluster_0,3
