symbol,side,combo_idx,reason,status
1000CATUSDT,long,1,MAX_OPEN,SKIPPED
1000PEPEUSDT,long,1,MAX_OPEN,SKIPPED
1000RATSUSDT,long,1,MAX_OPEN,SKIPPED
1000XECUSDT,long,1,MAX_OPEN,SKIPPED
1INCHUSDT,long,1,MAX_OPEN,SKIPPED
AAVEUSDT,long,1,MAX_OPEN,SKIPPED
ACEUSDT,long,1,MAX_OPEN,SKIPPED
ARBUSDT,long,1,MAX_OPEN,SKIPPED
ARUSDT,long,1,MAX_OPEN,SKIPPED
AVAAIUSDT,long,1,MAX_OPEN,SKIPPED
BICOUSDT,long,1,MAX_OPEN,SKIPPED
BOMEUSDT,long,1,MAX_OPEN,SKIPPED
BTCUSDT,long,1,MAX_OPEN,SKIPPED
CAKEUSDT,long,1,MAX_OPEN,SKIPPED
CETUSUSDT,long,1,MAX_OPEN,SKIPPED
COTIUSDT,long,1,MAX_OPEN,SKIPPED
CRVUSDT,long,1,MAX_OPEN,SKIPPED
DASHUSDT,long,1,MAX_OPEN,SKIPPED
EDUUSDT,long,1,MAX_OPEN,SKIPPED
EGLDUSDT,long,1,MAX_OPEN,SKIPPED
ENAUSDT,long,1,MAX_OPEN,SKIPPED
ENSUSDT,long,1,MAX_OPEN,SKIPPED
ETHFIUSDT,long,1,MAX_OPEN,SKIPPED
ETHUSDT,long,1,MAX_OPEN,SKIPPED
GRIFFAINUSDT,long,1,MAX_OPEN,SKIPPED
HFTUSDT,long,1,MAX_OPEN,SKIPPED
KMNOUSDT,long,1,MAX_OPEN,SKIPPED
KOMAUSDT,long,1,MAX_OPEN,SKIPPED
LDOUSDT,long,1,MAX_OPEN,SKIPPED
LINKUSDT,long,1,MAX_OPEN,SKIPPED
LISTAUSDT,long,1,MAX_OPEN,SKIPPED
MELANIAUSDT,long,1,MAX_OPEN,SKIPPED
MINAUSDT,long,1,MAX_OPEN,SKIPPED
MORPHOUSDT,long,1,MAX_OPEN,SKIPPED
NEIROUSDT,long,1,MAX_OPEN,SKIPPED
ONGUSDT,long,1,MAX_OPEN,SKIPPED
ORDIUSDT,long,1,MAX_OPEN,SKIPPED
PENDLEUSDT,long,1,MAX_OPEN,SKIPPED
PENGUUSDT,long,1,MAX_OPEN,SKIPPED
PEOPLEUSDT,long,1,MAX_OPEN,SKIPPED
POLUSDT,long,1,MAX_OPEN,SKIPPED
PORTALUSDT,long,1,MAX_OPEN,SKIPPED
PROMUSDT,long,1,MAX_OPEN,SKIPPED
PYTHUSDT,long,1,MAX_OPEN,SKIPPED
SOLUSDT,long,1,MAX_OPEN,SKIPPED
SPXUSDT,long,1,MAX_OPEN,SKIPPED
