run_date,event,detail,equity
2026-08-15,RUN,"closed=0 opened=20 skipped=357 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-16,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-17,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-20,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-23,RUN,"closed=0 opened=0 skipped=174 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-25,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-26,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-28,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$60,000.00 dd=0.00%",60000.0000
2026-08-29,RUN,"closed=12 opened=12 skipped=183 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-08-30,RUN,"closed=0 opened=0 skipped=174 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-08-31,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-09-01,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-09-02,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-09-03,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-09-04,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-09-05,RUN,"closed=0 opened=0 skipped=0 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
2026-09-06,RUN,"closed=0 opened=0 skipped=174 open_now=20 equity=$61,097.37 dd=0.00%",61097.3739
