symbol,entry_date,entry_price,current_price,qty,cost_usdt,market_value_usdt,unrealized_pnl,pnl_pct
1000CATUSDT,2026-08-15,0.001595,0.002116,421206.923038,671.94,891.27,219.33,32.64
1INCHUSDT,2026-08-15,0.083508,0.098060,27198.391596,2271.29,2667.07,395.78,17.43
BNBUSDT,2026-08-15,611.012178,767.760000,5.615750,3431.29,4311.55,880.26,25.65
BTCUSDT,2026-08-29,77821.461180,84355.100000,0.030791,2396.20,2597.37,201.18,8.40
CELOUSDT,2026-08-29,0.074636,0.089090,17259.566086,1288.19,1537.65,249.47,19.37
COMPUSDT,2026-08-29,18.224568,21.800000,68.930237,1256.22,1502.68,246.46,19.62
ENAUSDT,2026-08-29,0.162412,0.206010,4752.191246,771.82,979.00,207.18,26.84
1MBABYDOGEUSDT,2026-09-12,0.000379,0.000399,3512258.305824,1330.25,1400.34,70.09,5.27
ACHUSDT,2026-09-12,0.004937,0.005572,240716.639792,1188.49,1341.27,152.78,12.85
ANKRUSDT,2026-09-12,0.004152,0.004833,343440.040835,1426.08,1659.85,233.76,16.39
ARBUSDT,2026-09-12,0.139468,0.215940,4667.365692,650.95,1007.87,356.92,54.83
ARUSDT,2026-09-12,2.615090,4.298000,362.641411,948.34,1558.63,610.29,64.35
BANDUSDT,2026-09-12,0.178746,0.210700,6696.817744,1197.03,1411.02,213.99,17.88
CAKEUSDT,2026-09-12,2.189050,2.558200,586.628346,1284.16,1500.71,216.55,16.86
CRVUSDT,2026-09-12,0.335468,0.324800,2725.666639,914.37,885.30,-29.08,-3.18
DASHUSDT,2026-09-12,56.861370,57.580000,12.645792,719.06,728.14,9.09,1.26
DIAUSDT,2026-09-12,0.128721,0.143200,7969.246834,1025.81,1141.20,115.39,11.25
EDUUSDT,2026-09-12,0.050396,0.049290,20314.953303,1023.79,1001.32,-22.46,-2.19
ENSUSDT,2026-09-12,5.761606,6.741000,169.604604,977.19,1143.30,166.11,17.00
ICPUSDT,2026-09-12,2.724178,2.922000,407.452060,1109.97,1190.57,80.60,7.26
