position_id,symbol,entry_date,as_of_date,entry_price,stop_loss,bars_held,bars_remaining,atr_at_entry,funding_at_entry,fast_ema_at_entry,slow_ema_at_entry,risk_amount_usdt,qty
BTCDOMUSDT_1788624000000,BTCDOMUSDT,2026-09-05,2026-09-11,5320.0,5382.77142858,32,3,31.38571429,0.01,5375.93645829,5377.4215504,14.8596,0.23672631
PEOPLEUSDT_1788768000000,PEOPLEUSDT,2026-09-07,2026-09-11,0.007838,0.00830242,22,13,0.00023221,0.01,0.00808973,0.00809196,14.8596,31996.14224
ZEREBROUSDT_1788768000000,ZEREBROUSDT,2026-09-07,2026-09-11,0.037458,0.03906314,22,13,0.00080257,0.017307,0.03821662,0.0382194,14.8596,9257.54038844
WOOUSDT_1788969600000,WOOUSDT,2026-09-09,2026-09-11,0.01143,0.01194572,8,27,0.00025786,0.01,0.01163217,0.01163901,14.8374,28770.19059567
AGLDUSDT_1789070400000,AGLDUSDT,2026-09-10,2026-09-11,0.1637,0.17195714,1,34,0.00412857,0.01,0.17025536,0.17044797,14.8374,1796.91305876
APEUSDT_1789041600000,APEUSDT,2026-09-10,2026-09-11,0.1361,0.14391428,3,32,0.00390714,0.01,0.14157494,0.14166943,14.8374,1898.74981367
ARPAUSDT_1789041600000,ARPAUSDT,2026-09-10,2026-09-11,0.00914,0.00957358,3,32,0.00021679,0.01,0.00963504,0.00964851,14.8374,34220.58834356
C98USDT_1789012800000,C98USDT,2026-09-10,2026-09-11,0.01426,0.01503428,5,30,0.00038714,0.01,0.01478977,0.01480677,14.8374,19162.78696854
CFXUSDT_1789056000000,CFXUSDT,2026-09-10,2026-09-11,0.04626,0.04860714,2,33,0.00117357,0.01,0.04849537,0.0485372,14.8374,6321.46471621
CTSIUSDT_1789012800000,CTSIUSDT,2026-09-10,2026-09-11,0.02474,0.02612572,5,30,0.00069286,0.01,0.02542756,0.02543215,14.8374,10707.33098606
DYDXUSDT_1789070400000,DYDXUSDT,2026-09-10,2026-09-11,0.1133,0.12032858,1,34,0.00351429,0.01,0.11805633,0.11821598,14.8374,2111.00431296
GTCUSDT_1788998400000,GTCUSDT,2026-09-10,2026-09-11,0.07844,0.08316714,6,29,0.00236357,0.01,0.08148548,0.08151188,14.8374,3138.76100433
KOMAUSDT_1789012800000,KOMAUSDT,2026-09-10,2026-09-11,0.012284,0.01387842,5,30,0.00079721,0.048899,0.01450409,0.01452537,14.8374,9305.80568106
SNXUSDT_1789027200000,SNXUSDT,2026-09-10,2026-09-11,0.2116,0.22095714,4,31,0.00467857,0.01,0.21749292,0.21766154,14.8374,1585.67283315
SPELLUSDT_1789041600000,SPELLUSDT,2026-09-10,2026-09-11,8.17e-05,8.542e-05,3,32,1.86e-06,0.01,8.448e-05,8.456e-05,14.8374,3988538.35860215
