symbol,side,entry_date,entry_price,current_price,quantity,notional_usdt,unrealized_pnl,unrealized_pct,days_held
HFTUSDT,LONG,2026-08-14,0.0238,0.0238,9907.52842763,235.7992,0.0,0.0,19
BICOUSDT,LONG,2026-08-14,0.0336,0.02199,7017.83263624,154.3221,-81.477,-34.554,19
BOMEUSDT,LONG,2026-08-14,0.0007959,0.0008586,296267.3408439,254.3751,18.576,7.878,19
KOMAUSDT,LONG,2026-08-14,0.014783,0.012801,15950.69854412,204.1849,-31.6143,-13.407,19
PEOPLEUSDT,LONG,2026-08-14,0.007975,0.008031,29567.29486867,237.4549,1.6558,0.702,19
PROMUSDT,LONG,2026-08-14,2.658,4.771,88.71300849,423.2498,187.4506,79.496,19
1000RATSUSDT,LONG,2026-08-14,0.03827,0.03914,6161.46267514,241.1596,5.3605,2.273,19
AVAAIUSDT,LONG,2026-08-14,0.011268,0.008143,20926.44449571,170.404,-65.3951,-27.733,19
CRVUSDT,LONG,2026-08-14,0.2671,0.3706,882.81234211,327.1703,91.3711,38.75,19
ARCUSDT,LONG,2026-08-14,0.07257,0.06518,3249.26521397,211.7871,-24.0121,-10.183,19
DODOXUSDT,LONG,2026-08-14,0.022028,0.018456,10704.52045477,197.5626,-38.2365,-16.216,19
XMRUSDT,LONG,2026-08-14,393.8,505.75,0.59877902,302.8325,67.0333,28.428,19
ZEREBROUSDT,LONG,2026-08-14,0.037479,0.038321,6291.50128279,241.0966,5.2974,2.247,19
TRXUSDT,LONG,2026-08-14,0.33618,0.32181,701.4075096,225.72,-10.0792,-4.274,19
MORPHOUSDT,LONG,2026-08-14,1.9832,2.6066,118.8983343,309.9204,74.1212,31.434,19
BTCDOMUSDT,LONG,2026-08-14,5460.6,5398.0,0.04318192,233.096,-2.7032,-1.146,19
ZECUSDT,LONG,2026-08-14,489.84,829.6,0.48137999,399.3528,163.5537,69.361,19
RIFUSDT,LONG,2026-08-14,0.06796,0.07149,3469.67593552,248.0471,12.248,5.194,19
STORJUSDT,SHORT,2026-08-14,0.04182,0.03923,10149.17546245,398.1522,26.2864,6.602,19
MOVRUSDT,SHORT,2026-08-14,0.823,0.7778,515.72116384,401.1279,23.3106,5.811,19
ONEUSDT,SHORT,2026-08-14,0.000796,0.0007328,533214.21839169,390.7394,33.6991,8.624,19
VANAUSDT,SHORT,2026-08-14,0.8413,0.8925,504.50317109,450.2691,-25.8306,-5.737,19
RVNUSDT,SHORT,2026-08-14,0.002595,0.00296,163560.12248161,484.138,-59.6994,-12.331,19
VANRYUSDT,SHORT,2026-08-14,0.003228,0.003228,131486.52969014,424.4385,0.0,0.0,19
SYNUSDT,SHORT,2026-08-14,0.1025,0.0902,4140.86358868,373.5059,50.9326,13.636,19
LDOUSDT,SHORT,2026-08-14,0.2895,0.3686,1466.10886991,540.4077,-115.9692,-21.46,19
IOUSDT,SHORT,2026-08-14,0.1111,0.129,3820.32869343,492.8224,-68.3839,-13.876,19
