symbol,side,action,rank,entry_price,quantity,notional,period_return_pct
DEXEUSDT,LONG,OPEN,1,19.821,20.98994333,416.0417,45.45
XLMUSDT,LONG,OPEN,2,0.20555,2024.0411903,416.0417,39.62
JTOUSDT,LONG,OPEN,3,0.58,717.31321839,416.0417,38.36
ARCUSDT,LONG,OPEN,4,0.08251,5042.31810286,416.0417,25.03
NEARUSDT,LONG,OPEN,5,1.915,217.25413403,416.0417,17.85
STGUSDT,LONG,OPEN,6,0.2135,1948.67291179,416.0417,13.87
INJUSDT,LONG,OPEN,7,5.33,78.05659787,416.0417,3.7
BTCDOMUSDT,LONG,OPEN,8,5686.3,0.07316562,416.0417,2.29
RIFUSDT,LONG,OPEN,9,0.06479,6421.38704533,416.0417,-7.85
TRXUSDT,LONG,OPEN,10,0.3273,1271.13249822,416.0417,-7.91
AKTUSDT,LONG,OPEN,11,0.6297,660.69821608,416.0417,-20.3
ZECUSDT,LONG,OPEN,12,395.1,1.05300346,416.0417,-29.85
DUSDT,SHORT,OPEN,1,0.005609,89008.73596006,499.25,
HIGHUSDT,SHORT,OPEN,2,0.079,6319.62025316,499.25,
RONINUSDT,SHORT,OPEN,3,0.06477,7708.04384746,499.25,
COOKIEUSDT,SHORT,OPEN,4,0.00968,51575.41322314,499.25,
CHZUSDT,SHORT,OPEN,5,0.0254,19655.51181102,499.25,
SWARMSUSDT,SHORT,OPEN,6,0.006627,75335.74769881,499.25,
MOVRUSDT,SHORT,OPEN,7,1.282,389.43057722,499.25,
BCHUSDT,SHORT,OPEN,8,223.58,2.23298148,499.25,
DUSKUSDT,SHORT,OPEN,9,0.09237,5404.89336365,499.25,
PIPPINUSDT,SHORT,OPEN,10,0.01402,35609.84308131,499.25,
