symbol,base,bars,first_date,last_date,excluded,included
0G/USDT,0G,249,2025-09-22,2026-05-28,insufficient_bars,False
1000CAT/USDT,1000CAT,528,2024-12-17,2026-05-28,insufficient_bars,False
1000CHEEMS/USDT,1000CHEEMS,474,2025-02-09,2026-05-28,insufficient_bars,False
1000SATS/USDT,1000SATS,899,2023-12-12,2026-05-28,insufficient_bars,False
1INCH/USDT,1INCH,1981,2020-12-25,2026-05-28,,True
1MBABYDOGE/USDT,1MBABYDOGE,620,2024-09-16,2026-05-28,insufficient_bars,False
2Z/USDT,2Z,239,2025-10-02,2026-05-28,insufficient_bars,False
A/USDT,A,366,2025-05-28,2026-05-28,insufficient_bars,False
AAVE/USDT,AAVE,2052,2020-10-15,2026-05-28,,True
ACE/USDT,ACE,893,2023-12-18,2026-05-28,insufficient_bars,False
ACH/USDT,ACH,1600,2022-01-10,2026-05-28,,True
ACM/USDT,ACM,1920,2021-02-24,2026-05-28,,True
ACT/USDT,ACT,564,2024-11-11,2026-05-28,insufficient_bars,False
ACX/USDT,ACX,539,2024-12-06,2026-05-28,insufficient_bars,False
ADA/USDT,ADA,2200,2020-05-20,2026-05-28,,True
ADX/USDT,ADX,1673,2021-10-29,2026-05-28,,True
AEUR/USDT,AEUR,905,2023-12-04,2026-05-28,insufficient_bars,False
AEVO/USDT,AEVO,807,2024-03-13,2026-05-28,insufficient_bars,False
AGLD/USDT,AGLD,1697,2021-10-05,2026-05-28,,True
AI/USDT,AI,876,2024-01-04,2026-05-28,insufficient_bars,False
AIGENSYN/USDT,AIGENSYN,15,2026-05-14,2026-05-28,insufficient_bars,False
AIXBT/USDT,AIXBT,504,2025-01-10,2026-05-28,insufficient_bars,False
ALCX/USDT,ALCX,1641,2021-11-30,2026-05-28,,True
ALGO/USDT,ALGO,2200,2020-05-20,2026-05-28,,True
ALICE/USDT,ALICE,1901,2021-03-15,2026-05-28,,True
ALLO/USDT,ALLO,199,2025-11-11,2026-05-28,insufficient_bars,False
ALPINE/USDT,ALPINE,1558,2022-02-21,2026-05-28,,True
ALT/USDT,ALT,855,2024-01-25,2026-05-28,insufficient_bars,False
AMP/USDT,AMP,1648,2021-11-23,2026-05-28,,True
ANIME/USDT,ANIME,491,2025-01-23,2026-05-28,insufficient_bars,False
ANKR/USDT,ANKR,2200,2020-05-20,2026-05-28,,True
APE/USDT,APE,1534,2022-03-17,2026-05-28,,True
API3/USDT,API3,1589,2022-01-21,2026-05-28,,True
APT/USDT,APT,1318,2022-10-19,2026-05-28,insufficient_bars,False
AR/USDT,AR,1841,2021-05-14,2026-05-28,,True
ARB/USDT,ARB,1163,2023-03-23,2026-05-28,insufficient_bars,False
ARDR/USDT,ARDR,2200,2020-05-20,2026-05-28,,True
ARK/USDT,ARK,980,2023-09-22,2026-05-28,insufficient_bars,False
ARKM/USDT,ARKM,1046,2023-07-18,2026-05-28,insufficient_bars,False
ARPA/USDT,ARPA,2200,2020-05-20,2026-05-28,,True
ASR/USDT,ASR,1976,2020-12-30,2026-05-28,,True
ASTER/USDT,ASTER,235,2025-10-06,2026-05-28,insufficient_bars,False
ASTR/USDT,ASTR,1551,2022-02-28,2026-05-28,,True
AT/USDT,AT,183,2025-11-27,2026-05-28,insufficient_bars,False
ATM/USDT,ATM,1976,2020-12-30,2026-05-28,,True
ATOM/USDT,ATOM,2200,2020-05-20,2026-05-28,,True
