symbol,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,best_r,worst_r,avg_mfe_r,avg_mae_r,top_month,top_month_pct,step_b_included,step_b_v2_included
1INCH/USDT,13,-0.0885098839472857,-0.0068084526113296,0.2307692307692307,0.9902711140344076,-4.0,3.741295506457988,-1.0000000000000002,2.2432049208899447,-1.0335531989331048,2024-12,0.0,True,False
AAVE/USDT,22,-3.197342806968166,-0.1453337639530984,0.2272727272727272,0.7739886368865133,-5.182766807785612,2.879225390894719,-1.0000000000000009,1.769582858825755,-0.9709325666032144,2024-12,0.0,True,False
ACH/USDT,15,-7.14630522434012,-0.4764203482893413,0.1333333333333333,0.4011952269222869,-6.14630522434012,3.3952418006898597,-1.0000000000000002,1.5555672265166558,-1.1874571682240949,2024-12,0.0,True,False
ACM/USDT,8,-3.5790410766529406,-0.4473801345816176,0.125,0.4541010132917655,-2.816707970384229,2.977192152931388,-1.0000000000000009,2.443335620193752,-1.111639963839533,2024-03,0.0,True,False
ADA/USDT,20,21.93451524451483,1.0967257622257416,0.4,3.0342820185515365,-4.587457434073105,11.647499827412824,-1.0000000000000004,3.4089158513274365,-0.9643122851361298,2023-12,0.4854221626837843,True,True
ADX/USDT,10,-0.8171064195257669,-0.0817106419525766,0.3,0.8764261689087975,-2.999999999999999,3.980663973636105,-1.0000000000000009,2.234045526205958,-1.1602118592665576,2024-02,0.0,True,False
AGLD/USDT,17,-6.856876140206608,-0.403345655306271,0.2352941176470588,0.4011600103860853,-5.931287577078657,2.166287461585953,-1.0000000000000004,1.8188261018664704,-1.1388086972948988,2023-10,0.0,True,False
ALCX/USDT,6,4.382035899351103,0.7303393165585171,0.5,2.7850537561694253,-1.8999289529679888,3.585734861204951,-1.0000000000000004,3.5107056812068524,-0.7119951033145123,2024-12,0.8182805763266181,True,False
ALGO/USDT,14,42.41524265454163,3.0296601896101163,0.4285714285714285,6.446231516758188,-2.0,23.42849988172226,-1.0000000000000004,6.246821906375921,-0.8962249784819111,2024-12,0.5523603878101035,True,False
ALICE/USDT,14,-3.6006245700606803,-0.2571874692900486,0.2142857142857142,0.6726704936308471,-5.0,3.749433958273614,-1.0000000000000004,1.867382418812653,-1.652295163877708,2024-06,0.0,True,False
ALPINE/USDT,8,-2.251573833795407,-0.2814467292244259,0.125,0.6783465951720847,-4.0,4.748426166204595,-1.0000000000000018,3.243470885011729,-1.4299639333754155,2025-08,0.0,True,False
AMP/USDT,9,7.569158075077457,0.8410175638974953,0.2222222222222222,2.0813082964396368,-4.0,13.879312110198704,-1.0000000000000009,3.042079955957376,-1.1450986597552044,2024-03,1.8336665680028983,True,False
ANKR/USDT,18,5.356329672314037,0.2975738706841132,0.3333333333333333,1.4677808326711324,-5.531884471929896,6.353763241069638,-1.0000000000000004,2.62634330316959,-0.9982888036104532,2024-12,1.1862158660455808,True,False
APE/USDT,4,-1.5293340444618964,-0.3823335111154741,0.25,0.4664302992114605,-1.8662310513542275,1.3368970068923314,-1.0000000000000002,2.5212849271362203,-1.244688276120575,2024-03,0.0,False,False
API3/USDT,9,-4.12608190870643,-0.4584535454118256,0.1111111111111111,0.3983186509370156,-4.857586520060987,2.731504611354556,-1.0000000000000004,1.890771847087119,-1.2875267563202133,2023-11,0.0,True,False
AR/USDT,11,2.0893240854787845,0.189938553225344,0.2727272727272727,1.3214008044551742,-3.5006809457758665,3.5517944696411643,-1.0000000000000004,2.395699114311057,-0.8562974990408097,2024-02,1.6999729694051957,True,False
ARDR/USDT,16,20.01065568856332,1.2506659805352074,0.5,3.747785518975168,-3.3788417168237928,5.46941538259133,-1.0000000000000004,3.87081389295016,-0.8719521878839949,2021-04,0.2733251457480857,True,True
ARPA/USDT,18,8.887475098695631,0.4937486165942018,0.3333333333333333,1.7406229248913023,-6.0,8.415990835690826,-1.0000000000000004,3.4272069179478617,-1.098575753919345,2023-05,0.9469495826689852,True,False
ASR/USDT,11,11.340011746147804,1.0309101587407097,0.3636363636363636,2.704097220762674,-2.65455679874447,8.161907056750508,-1.0000000000000004,3.4118205246885736,-0.927078369419684,2025-07,0.6620231465418263,True,False
ASTR/USDT,7,9.50185900855046,1.357408429792923,0.4285714285714285,3.375464752137616,-3.0000000000000004,8.673023019861736,-1.0000000000000004,4.1185509736929005,-1.007538437258674,2023-12,0.9127711758359204,True,False
ATM/USDT,10,-3.1752262127423405,-0.317522621274234,0.2,0.5767159836314643,-6.507191045306996,3.331964832564656,-1.0000000000000009,2.279853415993902,-1.1539301738039551,2021-08,0.0,True,False
ATOM/USDT,23,-1.4543206156045951,-0.0632313311132432,0.2608695652173913,0.9087878357266304,-8.608612360398944,5.884117010205687,-1.0000000000000004,1.938842682537252,-1.0791274375663915,2021-02,0.0,True,False
AUCTION/USDT,12,10.20341283693617,0.8502844030780142,0.3333333333333333,2.2754266046170213,-6.0,8.448666913262112,-1.0000000000000002,4.695968878275848,-1.119213634056026,2025-03,0.8280236278079517,True,False
AUDIO/USDT,13,3.725200097921995,0.2865538536863073,0.2307692307692307,1.3725200097921997,-4.9344861476188,5.870811226876986,-1.0000000000000002,2.479812760566268,-1.0638414419956597,2021-08,1.5759720478241863,True,False
AVA/USDT,11,28.14721842068405,2.558838038244005,0.3636363636363636,5.53885069738414,-3.0,24.84647199994741,-1.0000000000000009,5.359849598319964,-0.8954276735534354,2024-12,0.8827327670036809,True,False
AVAX/USDT,17,18.294885469267182,1.076169733486305,0.3529411764705882,2.748220801073041,-3.0,9.882832908746929,-1.0000000000000004,3.5277288120377848,-1.4457108393999851,2021-08,0.540196489633602,True,True
AXS/USDT,17,-0.5994168866818527,-0.0352598168636383,0.2941176470588235,0.9486382681000628,-5.636570507330059,5.037153620648207,-1.0000000000000004,2.037345006426888,-1.1205659606791527,2021-07,0.0,True,False
BAND/USDT,17,-5.908244442321612,-0.3475437907248007,0.1764705882352941,0.4902217110039974,-8.4243683172338,2.165463124897196,-1.000000000000001,2.002676459657879,-0.9887631182298896,2022-11,0.0,True,False
BAR/USDT,5,-4.841333367067499,-0.9682666734134996,0.0,0.0,-3.841333367067498,-0.8413333670674983,-1.0000000000000009,1.9405241030943767,-1.3635925331089362,2023-04,0.0,True,False
BAT/USDT,19,2.955365815431286,0.1555455692332255,0.3157894736842105,1.242226128844928,-6.596169132803169,3.445373404747341,-1.0000000000000004,2.3304235029055667,-1.273335614965834,2021-02,1.1658026856633137,True,False
BCH/USDT,26,15.396899084862742,0.5921884263408747,0.2692307692307692,1.9116075543648905,-3.6744911196379855,13.502589961949882,-1.000000000000001,2.7994283073388693,-1.0916222805439837,2023-07,0.8769681406319519,True,False
BEL/USDT,16,-3.323412554418595,-0.2077132846511621,0.1875,0.7311779144063939,-4.999999999999999,3.4301113071841054,-1.0000000000000004,1.9473369952116537,-1.120484497679196,2024-03,0.0,True,False
BICO/USDT,10,-9.51648995353654,-0.951648995353654,0.0,0.0,-8.516489953536539,-0.5164899535365385,-1.0000000000000002,0.8740394591811743,-1.285376759283676,2024-12,0.0,True,False
BNB/USDT,28,57.07414852952984,2.0383624474832085,0.4285714285714285,5.09361745054169,-5.703922349529002,51.98718997643298,-1.0000000000000009,4.9498394418865095,-0.862238992571922,2021-02,0.9108710566139258,True,False
