time,open,high,low,close,volume
2025-09-15 00:00:00+00:00,0.81,2.1,0.81,1.2448,209043189.8
2025-09-16 00:00:00+00:00,1.245,1.308,0.9051,1.0182,152359301.5
2025-09-17 00:00:00+00:00,1.0184,1.0829,0.9022,1.0635,94175931.5
2025-09-18 00:00:00+00:00,1.0637,1.215,1.03,1.1008,81561821.6
2025-09-19 00:00:00+00:00,1.1009,1.1569,0.999,1.1064,55868419.7
2025-09-20 00:00:00+00:00,1.1069,1.499,1.0512,1.473,139391449.3
2025-09-21 00:00:00+00:00,1.4729,2.4783,1.4562,2.3627,300433669.2
2025-09-22 00:00:00+00:00,2.3619,2.6791,1.8298,2.0626,209213938.2
2025-09-23 00:00:00+00:00,2.0622,2.2664,1.7424,1.9901,157466835.7
2025-09-24 00:00:00+00:00,1.9901,2.2499,1.8615,2.207,126377998.6
2025-09-25 00:00:00+00:00,2.2072,2.3375,1.5542,1.5901,140369197.9
2025-09-26 00:00:00+00:00,1.5902,1.7827,1.4496,1.6509,142739866.2
2025-09-27 00:00:00+00:00,1.6507,1.7453,1.4835,1.5236,151414225.8
2025-09-28 00:00:00+00:00,1.5237,1.5319,1.3448,1.4838,177850371.5
2025-09-29 00:00:00+00:00,1.4839,1.4982,1.0648,1.1282,400044873.7
2025-09-30 00:00:00+00:00,1.1282,1.3254,1.0495,1.2954,2172630974.1
2025-10-01 00:00:00+00:00,1.2954,1.2993,1.146,1.1939,101602660.2
2025-10-02 00:00:00+00:00,1.1939,1.2376,1.1003,1.1312,82290078.8
2025-10-03 00:00:00+00:00,1.1312,1.3,1.0831,1.253,77445389.0
2025-10-04 00:00:00+00:00,1.2531,1.2874,1.1529,1.1585,42326367.0
2025-10-05 00:00:00+00:00,1.1586,1.1857,1.0988,1.1205,41566814.9
2025-10-06 00:00:00+00:00,1.1206,1.1524,1.0913,1.1298,36332722.1
2025-10-07 00:00:00+00:00,1.1298,1.13,0.9527,0.9559,45000576.2
2025-10-08 00:00:00+00:00,0.956,0.9595,0.8701,0.9149,41306664.0
2025-10-09 00:00:00+00:00,0.9149,0.9163,0.7938,0.8289,35441255.2
2025-10-10 00:00:00+00:00,0.8291,0.8905,0.198,0.5537,67419765.2
2025-10-11 00:00:00+00:00,0.554,0.7167,0.55,0.602,53739164.0
2025-10-12 00:00:00+00:00,0.602,0.71,0.5958,0.6623,48876975.4
2025-10-13 00:00:00+00:00,0.6623,0.6763,0.6141,0.6596,35555746.3
2025-10-14 00:00:00+00:00,0.6595,0.6904,0.5715,0.6174,27686419.0
2025-10-15 00:00:00+00:00,0.6171,0.6408,0.5732,0.5903,20941557.0
2025-10-16 00:00:00+00:00,0.5902,0.6106,0.5395,0.5509,24835730.9
2025-10-17 00:00:00+00:00,0.5506,0.5537,0.4811,0.5076,37198924.6
2025-10-18 00:00:00+00:00,0.5075,0.5272,0.4825,0.4955,18558785.4
2025-10-19 00:00:00+00:00,0.4953,0.5061,0.4724,0.4894,23835562.4
2025-10-20 00:00:00+00:00,0.4892,0.6734,0.4666,0.6407,78065205.4
2025-10-21 00:00:00+00:00,0.6404,0.7659,0.5651,0.6004,167417715.9
2025-10-22 00:00:00+00:00,0.6,0.722,0.5971,0.6518,78223093.1
2025-10-23 00:00:00+00:00,0.6518,0.6926,0.6181,0.6743,49023295.3
2025-10-24 00:00:00+00:00,0.6741,1.0099,0.66,0.7883,93895549.0
2025-10-25 00:00:00+00:00,0.7888,0.8209,0.7175,0.7522,46084613.9
2025-10-26 00:00:00+00:00,0.7523,0.847,0.7471,0.7969,43520227.7
2025-10-27 00:00:00+00:00,0.7964,0.8199,0.6864,0.6946,35284121.3
2025-10-28 00:00:00+00:00,0.6946,0.7196,0.6444,0.6671,31102426.9
2025-10-29 00:00:00+00:00,0.6671,0.6845,0.6274,0.6688,24039387.8
2025-10-30 00:00:00+00:00,0.6689,0.6894,0.5617,0.5828,26950376.5
2025-10-31 00:00:00+00:00,0.5827,0.6856,0.5809,0.6434,29156155.5
2025-11-01 00:00:00+00:00,0.6433,0.73,0.6426,0.6621,26833699.4
2025-11-02 00:00:00+00:00,0.662,0.6797,0.612,0.6352,19532491.8
2025-11-03 00:00:00+00:00,0.6352,0.6421,0.5276,0.5432,21969065.0
2025-11-04 00:00:00+00:00,0.5432,0.5642,0.4913,0.5301,29783258.5
