time,open,high,low,close,volume
2025-02-20 00:00:00+00:00,0.1,2.1,0.1,1.6446,362899133.7
2025-02-21 00:00:00+00:00,1.6434,2.12,1.2628,1.432,344981583.7
2025-02-22 00:00:00+00:00,1.4315,1.813,1.3572,1.5418,132090738.5
2025-02-23 00:00:00+00:00,1.5416,1.6394,1.4406,1.5706,71047024.5
2025-02-24 00:00:00+00:00,1.5702,2.025,1.5211,1.715,169957503.4
2025-02-25 00:00:00+00:00,1.715,1.8751,1.6,1.7305,103681040.9
2025-02-26 00:00:00+00:00,1.7311,2.5666,1.6921,2.4548,186131250.9
2025-02-27 00:00:00+00:00,2.4547,2.9274,2.0904,2.1488,130400419.5
2025-02-28 00:00:00+00:00,2.1488,2.2123,1.8814,1.9871,77843210.2
2025-03-01 00:00:00+00:00,1.9875,2.4264,1.9737,2.2041,67444460.2
2025-03-02 00:00:00+00:00,2.2044,2.4297,2.0395,2.1194,79323772.1
2025-03-03 00:00:00+00:00,2.1193,2.1969,1.648,1.66,55073264.9
2025-03-04 00:00:00+00:00,1.66,1.6961,1.4505,1.5463,61134738.4
2025-03-05 00:00:00+00:00,1.5469,2.26,1.4773,1.8027,97524594.2
2025-03-06 00:00:00+00:00,1.801,1.8755,1.6053,1.6322,31831265.9
2025-03-07 00:00:00+00:00,1.6325,1.738,1.5382,1.5484,27574106.2
2025-03-08 00:00:00+00:00,1.5485,1.7927,1.5185,1.654,32064672.9
2025-03-09 00:00:00+00:00,1.6543,1.6857,1.467,1.4823,16758477.2
2025-03-10 00:00:00+00:00,1.4826,1.5291,1.2807,1.3136,23146351.4
2025-03-11 00:00:00+00:00,1.3136,1.4537,1.2556,1.3595,26205724.1
2025-03-12 00:00:00+00:00,1.3597,1.5034,1.2919,1.4929,23987348.9
2025-03-13 00:00:00+00:00,1.4923,1.6054,1.3682,1.3964,27516873.3
2025-03-14 00:00:00+00:00,1.3964,1.4817,1.3894,1.413,14948880.9
2025-03-15 00:00:00+00:00,1.413,1.5611,1.3038,1.442,31009200.3
2025-03-16 00:00:00+00:00,1.4421,1.4468,1.3564,1.3775,11443962.1
2025-03-17 00:00:00+00:00,1.3776,1.4397,1.37,1.4337,12060762.8
2025-03-18 00:00:00+00:00,1.4336,1.452,1.3037,1.3199,14337832.4
2025-03-19 00:00:00+00:00,1.3199,1.3502,1.2839,1.3373,14071887.8
2025-03-20 00:00:00+00:00,1.3374,1.4076,1.3106,1.4022,19087494.3
2025-03-21 00:00:00+00:00,1.4021,1.431,1.2994,1.3049,17100225.3
2025-03-22 00:00:00+00:00,1.305,1.3654,1.2921,1.3272,11632307.1
2025-03-23 00:00:00+00:00,1.3272,1.3525,1.2462,1.277,12342623.0
2025-03-24 00:00:00+00:00,1.2769,1.3999,1.2523,1.3782,20056053.4
2025-03-25 00:00:00+00:00,1.3783,1.3947,1.3164,1.3615,13597272.7
2025-03-26 00:00:00+00:00,1.3615,1.3912,1.2565,1.2697,11289756.4
