time,open,high,low,close,volume
1970-01-01 00:00:01+00:00,514.2479858398438,516.7828979492188,500.6602478027344,508.7293090820313,267655135.0
2020-05-20 00:00:00+00:00,48.95,50.45,46.56,48.39,214827.78602
2020-05-21 00:00:00+00:00,48.36,48.8,44.41,46.0,195565.05932
2020-05-22 00:00:00+00:00,45.97,48.37,45.36,47.7,140667.95187
2020-05-23 00:00:00+00:00,47.68,48.42,46.56,46.91,62282.40636
2020-05-24 00:00:00+00:00,46.89,47.82,44.95,45.0,80511.09555
2020-05-25 00:00:00+00:00,44.99,46.08,44.83,45.94,69875.09053
2020-05-26 00:00:00+00:00,45.98,46.2,44.15,44.85,88439.48643
2020-05-27 00:00:00+00:00,44.84,46.26,44.44,46.21,85189.50163
2020-05-28 00:00:00+00:00,46.21,47.73,45.77,47.73,69062.69642
2020-05-29 00:00:00+00:00,47.74,48.01,46.14,46.6,65165.74701
2020-05-30 00:00:00+00:00,46.63,56.39,46.21,54.55,298240.8608
2020-05-31 00:00:00+00:00,54.55,55.72,50.62,51.51,236350.78498
2020-06-01 00:00:00+00:00,51.53,55.03,50.84,54.65,192336.41245
2020-06-02 00:00:00+00:00,54.7,55.37,50.16,51.48,208835.97288
2020-06-03 00:00:00+00:00,51.5,53.11,50.42,52.83,124259.88759
2020-06-04 00:00:00+00:00,52.88,53.45,50.94,52.24,84456.25772
2020-06-05 00:00:00+00:00,52.19,54.42,51.97,52.57,118203.00944
2020-06-06 00:00:00+00:00,52.56,53.86,51.81,52.83,72909.6273
2020-06-07 00:00:00+00:00,52.82,53.15,50.59,52.21,69689.71555
2020-06-08 00:00:00+00:00,52.23,52.61,51.52,52.5,56876.61185
2020-06-09 00:00:00+00:00,52.5,53.51,51.0,51.98,74642.31255
2020-06-10 00:00:00+00:00,51.99,55.51,51.76,55.21,148338.99683
2020-06-11 00:00:00+00:00,55.19,55.53,49.02,49.64,194244.95201
2020-06-12 00:00:00+00:00,49.63,52.49,48.24,51.61,117138.00585
2020-06-13 00:00:00+00:00,51.61,53.04,50.82,52.81,67057.7259
2020-06-14 00:00:00+00:00,52.81,52.98,50.48,51.1,59972.11993
2020-06-15 00:00:00+00:00,51.06,53.15,48.21,52.2,161500.26479
2020-06-16 00:00:00+00:00,52.2,53.8,51.74,52.97,109676.06241
2020-06-17 00:00:00+00:00,52.97,53.56,51.57,52.91,74637.31188
2020-06-18 00:00:00+00:00,52.91,53.38,51.21,51.95,55588.00972
2020-06-19 00:00:00+00:00,51.95,52.44,50.88,51.41,54267.30426
2020-06-20 00:00:00+00:00,51.39,51.68,50.24,51.4,43184.02837
2020-06-21 00:00:00+00:00,51.41,52.11,50.17,50.51,50446.63973
2020-06-22 00:00:00+00:00,50.5,53.67,50.3,53.53,98544.08906
2020-06-23 00:00:00+00:00,53.52,63.04,52.43,58.23,405043.81877
2020-06-24 00:00:00+00:00,58.24,59.65,53.2,55.2,311980.07303
2020-06-25 00:00:00+00:00,55.16,56.84,53.02,55.81,156304.19165
2020-06-26 00:00:00+00:00,55.83,56.76,54.44,55.7,130497.27168
2020-06-27 00:00:00+00:00,55.7,55.74,50.85,52.24,139596.35329
2020-06-28 00:00:00+00:00,52.22,54.0,51.01,51.81,181805.10921
2020-06-29 00:00:00+00:00,51.82,53.46,51.41,52.42,185930.95355
2020-06-30 00:00:00+00:00,52.44,52.73,50.92,51.44,117478.62413
2020-07-01 00:00:00+00:00,51.43,52.5,51.17,51.86,107712.87679
2020-07-02 00:00:00+00:00,51.85,53.69,49.64,51.18,216227.36651
2020-07-03 00:00:00+00:00,51.16,51.88,50.6,51.11,110236.71278
2020-07-04 00:00:00+00:00,51.1,51.84,50.64,51.43,89767.30718
2020-07-05 00:00:00+00:00,51.42,51.63,50.04,51.16,77594.45786
2020-07-06 00:00:00+00:00,51.2,55.92,51.16,55.55,169445.75227
2020-07-07 00:00:00+00:00,55.54,55.91,53.61,55.08,105273.76567
2020-07-08 00:00:00+00:00,55.09,58.79,54.26,57.94,196681.73374
2020-07-09 00:00:00+00:00,57.93,58.87,55.52,56.86,126479.70333
2020-07-10 00:00:00+00:00,56.86,56.89,54.12,56.07,87610.19183
2020-07-11 00:00:00+00:00,56.1,56.68,54.99,55.84,72865.60253
2020-07-12 00:00:00+00:00,55.82,61.1,55.77,58.65,246742.20958
2020-07-13 00:00:00+00:00,58.7,63.95,58.52,61.26,353065.49046
2020-07-14 00:00:00+00:00,61.26,63.03,58.85,62.02,182144.01934
2020-07-15 00:00:00+00:00,62.03,63.16,60.39,61.14,175563.20694
2020-07-16 00:00:00+00:00,61.14,61.72,57.11,59.1,199644.6061
2020-07-17 00:00:00+00:00,59.09,60.38,57.89,59.5,148038.81846
2020-07-18 00:00:00+00:00,59.49,59.91,58.04,59.06,86914.0463
2020-07-19 00:00:00+00:00,59.06,59.48,56.79,58.38,83685.37427
2020-07-20 00:00:00+00:00,58.39,58.58,56.86,57.05,85821.78851
2020-07-21 00:00:00+00:00,57.05,62.6,56.88,62.45,187634.05065
2020-07-22 00:00:00+00:00,62.41,64.77,60.83,64.28,202688.6392
2020-07-23 00:00:00+00:00,64.27,65.0,62.84,63.51,116787.56468
2020-07-24 00:00:00+00:00,63.5,64.72,61.65,63.01,165385.97764
2020-07-25 00:00:00+00:00,63.01,66.09,62.86,65.69,147549.67432
2020-07-26 00:00:00+00:00,65.7,67.26,63.76,66.15,196560.49726
2020-07-27 00:00:00+00:00,66.18,72.35,66.13,70.77,353054.17529
2020-07-28 00:00:00+00:00,70.8,73.42,68.43,70.57,195825.28596
2020-07-29 00:00:00+00:00,70.6,74.4,70.15,72.13,225725.11792
2020-07-30 00:00:00+00:00,72.12,72.59,69.48,70.48,177255.73089
2020-07-31 00:00:00+00:00,70.51,74.95,70.3,74.9,203173.61311
2020-08-01 00:00:00+00:00,74.9,95.0,73.96,89.37,655401.06347
2020-08-02 00:00:00+00:00,89.43,91.31,73.65,84.31,743770.81624
2020-08-03 00:00:00+00:00,84.27,85.94,81.31,82.3,331263.28638
2020-08-04 00:00:00+00:00,82.33,85.31,80.17,84.93,212735.25361
2020-08-05 00:00:00+00:00,84.94,98.07,84.92,97.46,512489.74641
2020-08-06 00:00:00+00:00,97.46,102.74,92.01,96.75,495676.20001
2020-08-07 00:00:00+00:00,96.77,97.65,87.05,94.42,402314.49164
2020-08-08 00:00:00+00:00,94.41,99.18,91.78,97.08,209024.58089
2020-08-09 00:00:00+00:00,97.06,97.45,89.48,92.01,217400.16143
2020-08-10 00:00:00+00:00,92.02,95.48,87.82,89.01,282726.04132
2020-08-11 00:00:00+00:00,89.02,90.06,78.56,80.88,411959.87212
2020-08-12 00:00:00+00:00,80.88,84.89,76.2,83.52,439763.90023
2020-08-13 00:00:00+00:00,83.55,88.0,77.37,87.4,426046.28222
2020-08-14 00:00:00+00:00,87.35,87.79,82.89,85.03,277856.41103
2020-08-15 00:00:00+00:00,84.98,88.55,83.73,85.12,287565.10787
2020-08-16 00:00:00+00:00,85.14,86.44,81.06,85.3,276974.63875
2020-08-17 00:00:00+00:00,85.3,90.29,82.87,86.74,371666.61202
2020-08-18 00:00:00+00:00,86.74,88.93,82.0,83.14,306993.21401
2020-08-19 00:00:00+00:00,83.15,84.55,72.73,76.3,442712.46491
2020-08-20 00:00:00+00:00,76.3,80.09,75.53,78.87,267234.21965
2020-08-21 00:00:00+00:00,78.86,81.53,73.15,73.56,341536.93996
2020-08-22 00:00:00+00:00,73.52,77.93,71.5,76.88,206926.56248
2020-08-23 00:00:00+00:00,76.86,84.5,74.2,84.36,323197.07354
2020-08-24 00:00:00+00:00,84.4,84.78,78.9,80.26,229856.69528
2020-08-25 00:00:00+00:00,80.27,82.56,71.19,72.93,539701.06081
2020-08-26 00:00:00+00:00,72.93,77.1,72.86,75.0,310801.24591
2020-08-27 00:00:00+00:00,74.99,75.56,70.29,72.13,295518.87407
2020-08-28 00:00:00+00:00,72.19,77.07,71.0,76.24,240097.83573
2020-08-29 00:00:00+00:00,76.2,80.73,74.92,78.68,189400.87742
2020-08-30 00:00:00+00:00,78.66,82.48,77.99,81.11,235604.66685
2020-08-31 00:00:00+00:00,81.14,81.61,77.23,78.29,171079.73877
2020-09-01 00:00:00+00:00,78.28,85.98,77.45,83.17,328788.34235
2020-09-02 00:00:00+00:00,83.16,84.69,71.87,75.9,313861.20843
